dataset,acceptance_rate,rep,parameter,method,estimate,batch_se,selected_controls,condition_number
simulated,0.318,6,omega_1,ZV-Lasso-5,0.108439370312673,4.033675361753671e-05,25,38139.85891252963
simulated,0.318,6,omega_2,MC,0.160289932932412,0.0031022864415424,0,
simulated,0.318,6,omega_2,ZV-OLS-1,0.157315168519962,0.0009430197907026,3,9.397330367491906
simulated,0.318,6,omega_2,ZV-OLS-2,0.1588423944328728,0.0001770317976872,9,125.6364839278148
simulated,0.318,6,omega_2,ZV-OLS-5,0.1595212383613955,7.278897361302762e-07,55,857238.2066043686
simulated,0.318,6,omega_2,ZV-Lasso-5,0.1593360328316749,5.8238433271972506e-05,16,4121.168198313624
simulated,0.318,6,omega_3,MC,0.7189455523340554,0.0070210975504488,0,
simulated,0.318,6,omega_3,ZV-OLS-1,0.734428746108018,0.0005523456874821,3,9.397330367491906
simulated,0.318,6,omega_3,ZV-OLS-2,0.7340482518889063,0.0002131341830226,9,125.6364839278148
simulated,0.318,6,omega_3,ZV-OLS-5,0.7350354434903031,3.5587493514102755e-06,55,857238.2066043686
simulated,0.318,6,omega_3,ZV-Lasso-5,0.7347638051748813,5.530972446169676e-05,23,20784.348441436767
simulated,0.313,7,omega_1,MC,0.1120501443581295,0.0077186928949489,0,
simulated,0.313,7,omega_1,ZV-OLS-1,0.1091417062500768,0.0011804136126925,3,8.596193824282041
simulated,0.313,7,omega_1,ZV-OLS-2,0.1091357570730831,0.0004258846937707,9,117.862416702665
simulated,0.313,7,omega_1,ZV-OLS-5,0.1079882511982284,5.007288003415493e-06,55,1249883.411672729
simulated,0.313,7,omega_1,ZV-Lasso-5,0.1078657003133093,6.981371341888722e-05,26,66262.57211266577
simulated,0.313,7,omega_2,MC,0.1538107605081177,0.0031667422522151,0,
simulated,0.313,7,omega_2,ZV-OLS-1,0.1578131693232606,0.0007067190590075,3,8.596193824282041
simulated,0.313,7,omega_2,ZV-OLS-2,0.1587422013869597,0.0001269573852113,9,117.862416702665
