parameter,full_sample_estimate,full_batch_se,thin5_estimate,thin5_batch_se
omega_1,0.10807231125114111,1.0629422554293252e-05,0.10795648570715663,7.080137459876335e-06
omega_2,0.15952375233061497,2.0687114324452418e-06,0.1594615934789061,2.156505465330138e-06
omega_3,0.7348918583992518,1.0906925664646636e-05,0.735032967035176,8.463028730656035e-06
