parameter,series,mean_lag1_acf,sd_lag1_acf
omega_1,block means size 80,-0.021382598797173767,0.15890891978526492
omega_1,raw chain,0.8600771244616354,0.01457801571880609
omega_1,thinned every 8,0.299004668850689,0.050744769341367096
omega_2,block means size 80,0.014218311476086081,0.09071670767598722
omega_2,raw chain,0.8229843005296116,0.009422973256269057
omega_2,thinned every 8,0.2291788451658166,0.04818835248388661
omega_3,block means size 80,0.004900707367494231,0.1709361047082844
omega_3,raw chain,0.8406159649281877,0.021479246886747228
omega_3,thinned every 8,0.26816460115054624,0.07305404210434363
