dataset,parameter,method,mean_estimate,numerical_sd,mean_batch_se,mean_selected,median_condition,mean_acceptance,mc_sd,variance_reduction,reference,rmse_to_reference
eurusd,omega_1,MC,0.08195658670101921,0.007719708805998522,0.005661441623589771,0.0,,0.3625125,0.007719708805998522,1.0,0.08195658670101921,0.007323558810064274
eurusd,omega_1,ZV-Lasso-5,0.07476128186141003,0.0019431619462885372,0.00023332726932090265,41.2,262188.10222853936,0.3625125,0.007719708805998522,15.782792381868356,0.08195658670101921,0.007427698314380906
eurusd,omega_1,ZV-OLS-1,0.08198616008579909,0.007715717847537981,0.00540607034768473,3.0,8.518630146735124,0.3625125,0.007719708805998522,1.001034768430348,0.08195658670101921,0.007319832395459739
eurusd,omega_1,ZV-OLS-2,0.08027251607641454,0.004199220276826152,0.00284751611409252,9.0,130.4910761790731,0.3625125,0.007719708805998522,3.379593947594451,0.08195658670101921,0.004325066439794126
eurusd,omega_1,ZV-OLS-5,0.07466540221182144,0.0021476901613356734,0.00017330767085539154,55.0,13979160.638025869,0.3625125,0.007719708805998522,12.919883040001256,0.08195658670101921,0.0075705143142131654
eurusd,omega_2,MC,0.088909114550996,0.0032572065787518033,0.00309873900868531,0.0,,0.3625125,0.0032572065787518033,1.0,0.088909114550996,0.0030900574795620916
eurusd,omega_2,ZV-Lasso-5,0.08866715167905218,0.0007615570873903362,0.00015234381655706,30.0,27677.25607541052,0.3625125,0.0032572065787518033,18.29303132831729,0.088909114550996,0.0007619175211388108
eurusd,omega_2,ZV-OLS-1,0.08835714642493771,0.0017333156676524652,0.0014369300152867102,3.0,8.518630146735124,0.3625125,0.0032572065787518033,3.5313054218563007,0.088909114550996,0.0017345355849739308
eurusd,omega_2,ZV-OLS-2,0.08826393529815212,0.0009512485658875466,0.00072853963409504,9.0,130.4910761790731,0.3625125,0.0032572065787518033,11.72472260420677,0.088909114550996,0.0011093433728981254
eurusd,omega_2,ZV-OLS-5,0.08989512851389704,0.0012578941044805293,6.859853593057623e-05,55.0,13979160.638025869,0.3625125,0.0032572065787518033,6.705056522611665,0.088909114550996,0.0015479959157937092
eurusd,omega_3,MC,0.48315267665617245,0.04204845428688968,0.030128730210539162,0.0,,0.3625125,0.04204845428688968,1.0,0.48315267665617245,0.03989066629081276
