parameter,series,mean_lag1_acf,sd_lag1_acf
omega_1,block means size 80,-0.021382598797171977,0.1589089197852648
omega_1,raw chain,0.8600771244616354,0.014578015718806193
omega_1,thinned every 8,0.299004668850689,0.05074476934136743
omega_2,block means size 80,0.014218311476085776,0.0907167076759873
omega_2,raw chain,0.8229843005296116,0.009422973256269146
omega_2,thinned every 8,0.22917884516581646,0.04818835248388665
omega_3,block means size 80,0.004900707367494803,0.17093610470828546
omega_3,raw chain,0.8406159649281877,0.021479246886747235
omega_3,thinned every 8,0.2681646011505463,0.07305404210434398
