parameter,full_sample_estimate,full_batch_se,thin5_estimate,thin5_batch_se
omega_1,0.10807682845823108,6.977781535952285e-06,0.10801643351154998,1.0199990871088466e-05
omega_2,0.15949418887412986,3.288513311585076e-06,0.15949916285393967,1.963175793764973e-06
omega_3,0.7348943809762593,7.123209297868688e-06,0.734953980113185,1.0438895066349069e-05
